date,location,crop,disease
2026-03-16,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-16,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-16,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-16,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-16,Telangana,Tomato Leaf Mold,Tomato_Leaf_Mold
2026-03-16,Telangana,Tomato Leaf Mold,Tomato_Leaf_Mold
2026-03-16,Telangana,Tomato Septoria Leaf Spot,Tomato_Septoria_leaf_spot
2026-03-16,Telangana,Potato,Potato___Early_blight
2026-03-17,Telangana,Potato,Potato___Early_blight
2026-03-17,Telangana,Potato,Potato___Early_blight
2026-03-17,Telangana,Potato,Potato___Early_blight
2026-03-17,Telangana,Potato,Potato___Early_blight
2026-03-17,Telangana,Potato,Potato___Early_blight
2026-03-20,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-20,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-22,Telangana,Potato,Potato___Early_blight
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-22,Telangana,Tomato  Target Spot,Tomato__Target_Spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-22,Telangana,Potato,Potato___Early_blight
2026-03-22,Telangana,Potato,Potato___healthy
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-22,Telangana,Tomato Late Blight,Tomato_Late_blight
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Potato,Potato___Late_blight
2026-03-22,Telangana,Tomato  Target Spot,Tomato__Target_Spot
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato  Target Spot,Tomato__Target_Spot
2026-03-22,Telangana,Tomato  Target Spot,Tomato__Target_Spot
2026-03-22,Telangana,Tomato  Target Spot,Tomato__Target_Spot
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato  Target Spot,Tomato__Target_Spot
2026-03-22,Telangana,Tomato  Target Spot,Tomato__Target_Spot
2026-03-22,Telangana,Tomato  Target Spot,Tomato__Target_Spot
2026-03-22,Telangana,Tomato  Target Spot,Tomato__Target_Spot
2026-03-22,Telangana,Tomato  Target Spot,Tomato__Target_Spot
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato  Target Spot,Tomato__Target_Spot
2026-03-22,Telangana,Tomato  Target Spot,Tomato__Target_Spot
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-22,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-23,Telangana,Tomato Spider Mites Two Spotted Spider Mite,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-23,Telangana,Potato,Potato___Early_blight
2026-03-26,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-26,Telangana,Tomato Late Blight,Tomato_Late_blight
2026-03-26,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-26,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-26,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-26,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-26,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-26,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-26,Telangana,Pepper  Bell,Pepper__bell___Bacterial_spot
2026-03-26,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-26,Telangana,Pepper  Bell,Pepper__bell___healthy
2026-03-27,Telangana,Potato,Potato___Late_blight
2026-03-27,Telangana,Potato,Potato___Late_blight
2026-03-27,Telangana,Potato,Potato___Late_blight
2026-03-27,Telangana,Late Blight,Late Blight
2026-03-27,Telangana,Potato,Potato___Late_blight
2026-03-27,Telangana,Late Blight,Potato___Late_blight
2026-03-27,Telangana,Potato,Potato___Late_blight
2026-03-27,Telangana,Potato,Potato___Late_blight
2026-03-27,Telangana,Late,Potato___Late_blight
2026-03-27,Telangana,Potato,Potato___Late_blight
2026-03-27,Telangana,Potato,Potato___Late_blight
2026-03-27,Telangana,Potato,Potato___Late_blight
2026-03-27,Telangana,Potato,Potato___Late_blight
2026-03-27,Telangana,Potato,Potato___Late_blight
2026-03-27,Telangana,Tomato,Tomato__Tomato_mosaic_virus
2026-03-27,Telangana,Pepper__bell,Pepper__bell___Bacterial_spot
2026-03-27,Telangana,Pepper__bell,Pepper__bell___Bacterial_spot
2026-03-27,Telangana,Pepper__bell,Pepper__bell___Bacterial_spot
